"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1","Est","10","15","30","45","80","130","215","360","600","1000"
"2","E1","16.4528718763055","16.3469079678815","9.5151448274028","8.38317001538924","6.90021468718696","5.27607206002337","4.0572357912289","3.1224675523593","2.40396622884229","1.86011616685949"
"3","E2","17.4792580551318","11.1506257901851","9.66743657022833","6.90307713260405","5.45682072931798","4.30062574448934","3.39844244309819","2.65562137994745","2.00986527195657","1.56752047061109"
"4","E3","10.7645983134195","11.1326474719462","7.47805297198731","6.27161948986559","4.76188970217109","3.71372041170415","2.87012451740103","2.24822795585818","1.73961095133329","1.33981281454923"
"5","E4","11.1382048031276","9.62530500342395","6.44452747526797","5.47485933571452","4.20305343444139","3.31631095878423","2.51314855645805","1.98221810649387","1.55750065867071","1.19642288014607"
"6","E5","8.03747780708175","7.42396482968094","4.97002796925046","4.18163315238958","3.10899079267273","2.44434612563459","1.89244256240272","1.47686155487115","1.1379021769243","0.889440690049176"
"7","E6","7.97491979322013","6.28825736806192","4.54778864203165","3.76209761605593","2.80870892468376","2.23745048959669","1.7537242943451","1.35196759754379","1.04034582854804","0.81776655372836"
"8","E7","6.98128240101169","6.27560248960054","4.12965000604351","3.45645063509866","2.51406504132515","2.03675604727975","1.55197813641473","1.19902252633104","0.946043769901391","0.726485204454686"
"9","E8","5.61271705735568","5.13060563140258","3.83217725919857","3.07859954666701","2.32334454056205","1.81123318779467","1.43465853537597","1.11210078137282","0.841365909880193","0.671372753654668"
