"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1","Est","10","15","30","45","80","130","215","360","600","1000"
"2","E1","16.5540135426227","16.3705559567404","9.59998387083014","8.33788564130605","6.80384679585138","5.0521382777603","4.01082287754078","3.10979109626102","2.4181859738676","1.86882838084946"
"3","E2","17.5576942954252","11.0998403671096","9.64529309206308","7.03418609422842","5.45038651888896","4.28123841661899","3.38448203225352","2.62186654446949","2.00985008195625","1.58697290302658"
"4","E3","11.0259953523741","11.0635645007976","7.48588773436181","6.23421604925293","4.65649902659845","3.7498321601944","2.86274576087008","2.23587091348041","1.71818078216776","1.33982092021956"
"5","E4","10.899030774791","9.4979390823612","6.52835125374105","5.4294215267161","4.09934001048436","3.29266466648414","2.51826882377021","1.97234403144293","1.53437120732548","1.19707361595885"
"6","E5","8.02509283013993","7.54460866435983","5.0186151674676","4.25868226118708","3.14617510025972","2.4779018942636","1.87899923323191","1.46253238886066","1.14782526914668","0.894224611513985"
"7","E6","8.10246658003534","6.26864227566307","4.54391708783163","3.7587405359438","2.81343667771293","2.24866902151283","1.73948967427129","1.36784527891388","1.05002932274038","0.818447979756236"
"8","E7","7.09830811304403","6.25940221681712","4.07772307036441","3.43231701282161","2.54798889861625","2.02510173458024","1.56432975445939","1.21350207311641","0.942768079544798","0.73314152132826"
"9","E8","5.68118615605445","5.18218159730356","3.81305372895425","3.1254408095918","2.34976104090403","1.79863343709734","1.44706626879991","1.09002910094579","0.848416431779021","0.65919950455909"
