"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1","Est","10","15","30","45","80","130","215","360","600","1000"
"2","E1","10354151.1066397","561.608478755019","113.598951412247","64.4584406570879","41.418155700919","30.3935945415656","22.4299049978071","16.7937715878249","12.7373394365651","9.7670289627686"
"3","E2","37.1480557979953","26.7085404498458","18.2016810230774","14.1918660788639","10.410919312442","8.25925833220569","6.30132216113738","4.82513381627854","3.73331650902185","2.89555710230088"
"4","E3","14.9048272664383","11.4109885267612","7.89509055361449","6.43541119353028","4.77866804496527","3.75472707111364","2.88051018662036","2.20749822573408","1.73724597661526","1.3402801033004"
"5","E4","6.44714990814895","5.55155749167007","3.85405447453398","3.24371666446005","2.39659564830878","1.88289364817241","1.46816062169423","1.11602754183864","0.882053288278694","0.6811386995915"
"6","E5","7.95141391819973","6.78087288872095","5.03966242075135","4.20064580738689","3.13313346767497","2.50646195467249","1.92412576145632","1.51743174045979","1.17213844295256","0.913808541363272"
"7","E6","12.241852858141","10.2191818381822","8.04610381153669","6.55206570364172","5.08735087903043","4.00100348775447","3.12086965761969","2.44627178853815","1.90091163793983","1.48668670084821"
"8","E7","21.310742771882","15.9552259868829","11.5467984618234","9.6346236218353","7.11376835632952","5.38635619590422","4.29292303032417","3.34314086643299","2.62369444292402","2.04125355131789"
"9","E8","25.7511234766885","19.1833182835079","14.0970458092097","11.5454094829532","9.08286897274363","7.25092587196921","5.5728449815551","4.36378477537854","3.4065524446084","2.64993375728946"
"10","E9","26.2933052587009","19.6596032750711","14.4547110009985","11.8490860093051","8.80543679801304","6.75972637873434","5.35474848253553","4.18896825117599","3.23081629233822","2.56089316382111"
"11","E10","20.764342731032","17.202488090935","13.4923232810474","10.9277440491355","8.50711411368257","6.68023475649957","5.18620715736361","4.04600642422043","3.21605945330126","2.50064033723342"
"12","E11","24.0163657326865","19.8317139596717","14.1730641929389","11.4720224080347","8.75655968231712","6.99624565970751","5.33232119771074","4.20084944940294","3.23101467575703","2.60222544747936"
"13","E12","26.5723822302513","22.8962940342004","16.1198964706133","13.9187244931591","10.2366600960237","8.12840238755659","6.35757755895582","4.9287090637258","3.84195529016082","3.00848445229548"
"14","E13","49.0901363588177","35.638521108545","23.9795741512638","19.4997704973379","14.3636490185238","11.2553251561547","8.69711783915204","6.9321258592344","5.40421096866606","4.40244191947794"
"15","E14","118.872651515217","68.9157625220845","43.5018910847087","33.4906268155031","24.9219263769731","19.13503853285","15.2328723422761","12.078707547062","9.92075467402151","8.09570222669928"
"16","E15","4841.12718209059","597.727860704804","120.006916842196","76.2203932377666","49.6305466169847","35.0998974170567","26.5386507343503","20.0662707747436","15.7480803431622","12.8308519295827"
"17","E16","22.8912692698762","10.6615678144079","6.78751835114683","5.69268759165209","4.59250138689187","3.39325701791235","3.53810360849215","2.76223358044953","2.15530599536346","1.69619825492509"
