"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1","Est","10","15","30","45","80","130","215","360","600","1000"
"2","E1","7.70616536790588","7.64258899830172","4.60856122237414","3.92891360079154","3.13576911309332","2.32624438555366","1.82984459183265","1.40356715179929","1.11661029895379","0.859313993385228"
"3","E2","9.12227911817386","6.36115990271506","4.78618305066654","3.57567703653198","2.74710490177944","2.13125060783205","1.66481383889812","1.29747759902855","1.01821482613391","0.773060430746423"
"4","E3","7.46172177673869","6.37530027110791","4.28364945590814","3.49696296422689","2.61050267580626","2.01828031143573","1.5710029766295","1.22616991601036","0.939968859040013","0.741271958448506"
"5","E4","7.34630478786555","6.23467401179931","4.14376520262242","3.42097055914138","2.51672811129745","2.01246913525008","1.55766837166982","1.19938458984817","0.934909636809464","0.720109967015642"
"6","E5","8.36997305893772","7.03131792628999","4.70740324007595","3.80575644968165","2.90001692100144","2.29116433700657","1.76770706702599","1.36648630141897","1.06295803945832","0.813228779093202"
"7","E6","8.42002257504997","7.9225181042251","5.24030464698187","4.30024826885623","3.18309300270301","2.49305274303321","1.92709348236605","1.49865378253066","1.16691329260455","0.893558286331131"
"8","E7","12.427972136262","7.92372972989795","6.43691918732543","4.60340952269821","3.66087569822696","2.83885338773009","2.22643405162161","1.72069425899719","1.33914281212239","1.03393020990605"
"9","E8","10.829680462247","10.7730872164788","6.39238555178614","5.46186236939108","4.43980568143189","3.31709110280829","2.60845014566481","2.02321456021219","1.55399346759643","1.21685984770987"
