"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1","Est","10","15","30","45","80","130","215","360","600","1000"
"2","E1","22620.1217349353","1237.79516771376","252.157163293433","151.255754333103","88.2280910033013","62.2771219664396","45.4742701382593","33.6782425449896","25.1131014363577","19.5365546372864"
"3","E2","82.2938237685472","58.5401935886003","38.3334231686219","30.8726915017109","22.5724202573775","17.4635311764214","13.5172094673305","10.2975413726199","8.03254358028632","6.18131601088401"
"4","E3","39.2770357464402","29.861427593361","21.0413375170446","17.1325469794214","12.5761135588247","9.83918031931578","7.54786933775368","5.84418005369058","4.61531792235197","3.53913644154016"
"5","E4","23.6564456501283","20.3249367727349","14.183689619564","11.8992624296453","8.86496644182148","6.79560055015202","5.33259439884452","4.15381696961831","3.17917128258677","2.47997563293462"
"6","E5","19.9366772875504","16.0877109545595","11.2853555229277","9.03554660255122","6.75494686889698","5.22356784400738","4.06391566313149","3.09182111088022","2.48467284838828","1.89445266390717"
"7","E6","13.5500335347853","11.0234747336271","8.40013237405184","6.62105218103944","5.13590922615041","3.90800280540784","3.05703517898387","2.40107728283775","1.82467287999398","1.40897901215899"
"8","E7","12.952503946985","8.82714397633722","6.16349738685971","5.03474143059053","3.6949905992207","2.79717889092742","2.21417580094489","1.6928576982221","1.31397184343864","1.01759859969893"
"9","E8","8.66528554821724","5.97376423800455","4.25982943629104","3.4232976609276","2.65689754309672","2.09261626090332","1.60875893956108","1.22698542898811","0.982106055808522","0.740877884244522"
"10","E9","8.57641821862651","5.95621845681307","4.1716410100283","3.41027851228282","2.529685459781","1.90502230786939","1.49836593376061","1.17850389163559","0.905887544625648","0.693172933872503"
"11","E10","5.98290060842721","4.8179176565313","3.71040074273417","2.93160804156699","2.31576830551855","1.774798896668","1.3816930767086","1.08484943293075","0.83517465588091","0.643700901939586"
"12","E11","5.93535217198428","4.82383844011654","3.39260238470797","2.75095021306265","2.08240146389547","1.62601352437992","1.25402085059066","0.977299424499819","0.758681915608973","0.586490809798027"
"13","E12","4.99211521544366","4.40438921089647","3.05558669309008","2.64449738511908","1.96650514359356","1.50545414163949","1.17183230794245","0.91529395055027","0.714748721587265","0.543722494579011"
"14","E13","6.76000527498978","5.14532176737066","3.65376375881023","2.97124483795089","2.16492299395562","1.70686243096759","1.32671728928656","1.01375577223552","0.799151758152625","0.617759749110636"
"15","E14","11.6647875190759","8.68030684019629","6.13750631158794","4.89366195165971","3.67696607539049","2.82860204941325","2.19768848379413","1.73775937479522","1.33558996344063","1.03697083950113"
"16","E15","69.7484533963686","29.9142642438933","16.6538346513505","12.7668325526869","9.08032982883948","7.18024184726788","5.48009093486749","4.17784953276753","3.20099347835966","2.49848425504285"
"17","E16","50.6822827925447","28.6908103064","19.9127780191222","17.9517181873165","11.4041800904048","10.9430789965429","8.31487586983579","6.53993974973543","4.95144888393803","3.85953512387986"
