"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1","Est","10","15","30","45","80","130","215","360","600","1000"
"2","E1","8460.7608167661","1093.85370955163","255.787312037561","148.533167982165","88.8807220595202","62.0116768746259","44.5514784679826","33.515017577702","25.4079165243869","19.7382850366308"
"3","E2","88.4842372374344","63.636653601267","40.2422443116867","31.2720158227571","22.7578742711774","17.8475100052509","13.5885568480206","10.4526245508138","8.01227387336333","6.29801220883767"
"4","E3","37.4303512932012","28.8428486682349","20.4607914970471","16.2448544825539","12.2772099284469","9.57842682498531","7.49216639900545","5.75963495863847","4.49811068654715","3.47068246345806"
"5","E4","25.3948533175205","19.8084760851157","13.7335158867632","11.1633698250858","8.42434857513833","6.49163987802314","5.03326736210501","3.93489698133234","3.01567187385493","2.34882797060274"
"6","E5","18.6983115192878","14.5884346876138","10.0492454039","8.00665995276352","5.93208935778636","4.68200262210083","3.64705115242242","2.78316453431306","2.16651000488063","1.71986415510569"
"7","E6","12.3128818279774","10.404393427022","6.82116559556724","5.55256594168597","4.21721925324306","3.27824246897798","2.60045401056719","1.96722020633022","1.53911330409887","1.18991553720584"
"8","E7","7.65565660875233","6.40101436503109","4.57760129808763","3.76307420247315","2.83123899727791","2.20042866894826","1.70294665913239","1.31246725434368","1.03343421883942","0.795047497480174"
"9","E8","6.28591285360444","4.99786537846956","3.55896557026841","2.86275783271703","2.15676709076049","1.70135720078436","1.32592665963505","1.01545074509962","0.791350331937456","0.613093612736717"
"10","E9","96.8534719795161","29.6549882987684","16.8758343889786","12.9108623297374","9.07467844547023","7.1316994268783","5.38795710357752","4.19510254581498","3.25621854429392","2.51798825117643"
"11","E10","11.0977738223741","8.29871810640567","5.64175429131628","4.44197585411158","3.28199100054277","2.56405298306883","1.9985289658089","1.55267139993705","1.18388044491492","0.926199484860795"
"12","E11","5.69428644338121","4.32530108023245","3.1752813070553","2.53823062542681","1.87700863396071","1.51420672419756","1.15563373281613","0.896044553553774","0.689492900667635","0.544601689472188"
"13","E12","6.32535419548214","4.81135085563955","3.62141137633065","2.84898657862065","2.23715016871882","1.76391667085506","1.33835659291634","1.05851198259","0.815348949634046","0.639038069784707"
"14","E13","7.73817221224497","6.67430016447358","4.63521127052406","3.79949795451822","2.86319903829047","2.22757915621356","1.75617952679295","1.35561676784877","1.04713669580637","0.802800072790081"
"15","E14","12.3492634359656","7.99553979801502","6.04202813570464","4.78905292142709","3.40462604192889","2.75388704170434","2.14096986038627","1.65137905990431","1.25602129108915","0.97616176870582"
"16","E15","12.5502215658512","8.17966832428036","6.82056425904305","5.14312851597342","3.91028124076522","3.11789899927592","2.47198758460552","1.86312897939863","1.4452185666437","1.14179219075082"
"17","E16","12.8419829136929","12.1471690667692","7.07168500217507","6.06437085784891","4.7242773869507","3.49593040737796","2.78884327941042","2.15788733400117","1.67180172896781","1.28928106722871"
