"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1","Est","10","15","30","45","80","130","215","360","600","1000"
"2","E1","16.2797228281068","16.5317226116544","9.39132587289805","8.39114609730492","6.81696292545216","5.18106136013296","4.00927464086683","3.1601709262561","2.37541149761498","1.87169708101347"
"3","E2","17.6140047948864","11.0464172625253","9.6725172917436","6.91763134654681","5.45288309715149","4.31309294020273","3.39656918877596","2.64955390231407","2.01379105567107","1.59191244618397"
"4","E3","10.9470098000322","11.1856579897629","7.54851519571885","6.28911751087244","4.76021005935644","3.70292387777402","2.83995964114048","2.2035020536113","1.71199374279998","1.33204199762041"
"5","E4","10.9046844874414","9.71356007309154","6.50541757091319","5.47010451536032","4.15196732185908","3.26213936347287","2.54745680994667","1.9895281180341","1.52437945818909","1.19209944578434"
"6","E5","8.06165643602876","7.56268335885326","5.02333125881613","4.20565121410815","3.10912316839049","2.44480804081647","1.89409399635851","1.47493738690369","1.14668587267588","0.889295372257541"
"7","E6","8.02093789496735","6.29613171400339","4.55563059777852","3.74981297323486","2.81972721238548","2.24570093713385","1.73148185921218","1.35912408420438","1.05551379820969","0.805452413292739"
"8","E7","7.08180586835176","6.24712137185513","4.13335078325194","3.48218434153814","2.52088111715439","2.00096137645237","1.55527874042281","1.20965525516668","0.941086201329676","0.727257850044187"
"9","E8","5.66396784111207","5.16615139425934","3.75909748460536","3.11516397686166","2.33073966061795","1.79876463621044","1.43372616262513","1.09525261290993","0.861853295024419","0.666955272577011"
