"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1","Est","10","15","30","45","80","130","215","360","600","1000"
"2","E1","2548.60779194493","503.815457834218","154.22509679483","101.763060807286","67.3402705849386","48.5206063129109","37.0866980961729","28.0453923440278","21.9732657379629","17.5527949461632"
"3","E2","53.3702869467815","39.1779690238851","27.3086208132528","21.3760501883464","16.0544804086855","12.56165918835","9.77817218361308","7.4734108326815","5.84647815343525","4.56686106135835"
"4","E3","25.9921049080995","20.006404745127","13.9668567453455","11.0895463354703","8.28208558011406","6.54414070180598","4.99469108440348","3.90573763540433","3.00548298820362","2.29045223376945"
"5","E4","15.0341577876423","12.8869501749792","8.98943715644134","7.64231485215418","5.6086008645505","4.37121753691532","3.43321367357383","2.65806838412872","2.03918299944467","1.57429391378995"
"6","E5","10.7326575971632","8.83353133207604","6.13035673509335","4.98701040713961","3.79012736465516","2.93797548612207","2.26346361568431","1.76555661861494","1.35262450755771","1.03729467909194"
"7","E6","6.80788333970979","5.46788943186896","4.23994739795043","3.30337653734147","2.5879565964712","1.99894175182682","1.55659137798881","1.18554187950388","0.934674279654447","0.721629536744119"
"8","E7","9.00207067640041","6.33762539842854","4.45103664095861","3.6407142580082","2.68241596524165","2.02571214049464","1.5835873544604","1.24550898413418","0.947776714147782","0.740512319506482"
"9","E8","10.7027535279102","7.76775591971114","5.53351279725116","4.55038583357721","3.55874820045615","2.82294395811597","2.17531219572366","1.68569641031992","1.29699489124231","1.02663004832894"
"10","E9","10.9355424391229","7.97366091255526","5.72008117345413","4.66776370541452","3.45477240088798","2.6730773112177","2.08256937107555","1.59794096944401","1.25849550331339","0.980451801394588"
"11","E10","8.25942850083797","6.8785375731961","5.33994600450842","4.26047424543933","3.3963278985862","2.59605097663074","2.02819529828141","1.5831311267451","1.22057755076477","0.958251084805926"
"12","E11","9.54570711100923","7.93277415648352","5.73022388812284","4.7616778183282","3.52632963274088","2.75588551846997","2.20414161412392","1.69006674035596","1.31854886866142","1.02590322245025"
"13","E12","11.0599212712845","9.67833502862412","6.89462400375379","5.84374107139754","4.35946427019281","3.4084445905051","2.64720439674755","2.07787836182865","1.61952818001942","1.28196766754109"
"14","E13","19.1564324804103","14.7519428360318","10.2624291326877","8.43031445195969","6.23892312533903","5.01608493916838","3.87044154401737","3.04265601257271","2.40430662516698","1.89663225182267"
"15","E14","35.8096857855831","26.2632422212534","18.4262777152965","14.4655440809889","10.8830085728816","8.56359020988144","6.76131257473993","5.21071898307663","4.17014491104422","3.31639055659086"
"16","E15","133.954870522521","80.3734763398197","43.0880837469824","32.7337404187836","23.284886798219","18.3195195947084","14.8754403933595","12.54952936261","11.0782862159174","10.0303956285798"
"17","E16","35.7685080811251","20.1857714600325","14.0712372797916","12.2531465904627","6.81127166104561","6.90384611631961","4.78895229404793","3.72813153120242","2.82980412414231","2.17552121837443"
