"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1","Est","10","15","30","45","80","130","215","360","600","1000"
"2","E1","4728445660.17231","675.03450442083","161.342967451818","103.446880408305","66.3132564110288","48.7255695564702","36.6863230944805","28.2516747836924","21.9827276751595","17.3330123710552"
"3","E2","55.7188123660545","41.2803904850051","27.4613964426306","21.7229950025427","15.9034464875033","12.5200316456239","9.85672293910916","7.42901175916426","5.88341613036317","4.48699377817771"
"4","E3","23.1481059246126","18.0412983787099","13.0097481985903","10.4664209435555","7.76167982424125","6.14146908835512","4.68471887520446","3.67300029527555","2.84589265469788","2.20832710676801"
"5","E4","14.603678903581","11.5071958078782","8.22792648788155","6.64369900902274","4.97697228673808","3.94101136595075","3.00992856384805","2.30828584275492","1.81534821341101","1.39487340829067"
"6","E5","8.97415042918675","6.96725153846851","4.83960996440285","4.02333773242339","2.90617454440059","2.29527772991716","1.79000937522478","1.40002103000308","1.07988566075433","0.843916224335004"
"7","E6","6.15430860406767","4.93608499141837","3.42506438990649","2.84552263061469","2.13921632916613","1.69088019111969","1.3114357894004","0.98111788354672","0.767414472073242","0.602975665263107"
"8","E7","8.1882970995872","6.27181929550871","4.66950866272013","3.77006673508696","2.79615204928582","2.17444402190751","1.72046435552243","1.31866757631415","1.02576577234242","0.800091260857677"
"9","E8","10.9704037036348","8.92297147940154","6.8597966821138","5.29116681913959","4.02584078453243","3.20496164509239","2.47988824522584","1.9011034681158","1.48897586046559","1.1627249150443"
"10","E9","13581.1648982423","126.086985764381","42.092484552661","31.3729764886852","23.5118518102047","18.3690988291417","15.156687117893","12.4943882834883","10.8111450386755","10.132170719308"
"11","E10","37.443948357545","27.3915895226451","18.7752052462867","14.756945293577","11.2264138153388","8.5573578363741","6.86948675696459","5.45145438615797","4.49082807274382","3.69962549810518"
"12","E11","16.2425739264422","12.9537187562366","9.61913177800715","7.66450728027132","5.82872094036705","4.5091939682439","3.59966357295025","2.78448625280388","2.19373510835669","1.7793703335637"
"13","E12","10.0195765133834","7.97438037666648","5.80760191983483","4.78705431955403","3.61166854936392","2.80952675114511","2.21112024091209","1.70886631288888","1.35338738534576","1.03288285371432"
"14","E13","7.20759292945859","5.9208992786296","4.22553252795371","3.50594021278927","2.6613141574683","2.10190423286927","1.62732223359646","1.26299776269885","0.980317323323787","0.761874325269526"
"15","E14","6.64347980521605","5.59108525565403","4.02462722920696","3.25600523028982","2.49865283493553","1.96862174576965","1.54722035498616","1.19486429858415","0.922810139646288","0.710158904221952"
"16","E15","7.39451839357107","6.19354378161678","4.44980892018041","3.68061883506671","2.77117764747631","2.11357863307231","1.66189904861708","1.29029309675935","1.00002488110176","0.766528220177568"
"17","E16","8.11889738705324","6.5773666246075","5.03368935948123","3.95139869510715","2.98914902462928","2.37149525680752","1.8333648744171","1.41616170515836","1.08397574572852","0.854670757771293"
