"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1","Est","10","15","30","45","80","130","215","360","600","1000"
"2","E1","68.6830868984372","30.5823217340233","16.7442668868197","13.2411350918749","9.16236072171811","7.0928684076773","5.48695038308857","4.20842385054923","3.24010017080262","2.49394382733077"
"3","E2","14.4471257689905","10.7855958335164","7.22275774472304","5.91351743713028","4.30080127782783","3.34093395358372","2.60898344828573","2.00819667990051","1.56413400455182","1.22363534823465"
"4","E3","7.83841203073383","6.11894448511732","4.64157603673294","3.69623745409771","2.85245487856902","2.18914658096274","1.72210886404876","1.32817774772195","1.02971526343476","0.787657960840549"
"5","E4","6.35218020472939","4.86724674565295","3.65133573742606","2.872478722997","2.2439522188524","1.73932373159847","1.35514387185039","1.04183650821272","0.814192362040059","0.634933455062383"
"6","E5","5.80889463430452","4.73451257143068","3.35646666369152","2.74172670232357","2.04894010289219","1.62496076833869","1.25308768338454","0.964984073410974","0.748583465201023","0.582337645328973"
"7","E6","6.05567648437734","4.73841740076193","3.35818303873548","2.70691857434399","2.03085484522034","1.59233462170973","1.23837461623153","0.964538010517782","0.739293512193708","0.578265586850584"
"8","E7","5.81539132485102","4.7230418790495","3.47214719875085","2.77784283102013","2.1015141115317","1.6325902677473","1.28212427971404","0.989148034833638","0.761587407498481","0.590036097235253"
"9","E8","6.22750412214638","4.96493868494522","3.52478291222283","2.8285887764069","2.18154370503496","1.68280992877242","1.32188170694164","1.0198059528228","0.793477346190748","0.609885475632222"
