"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1","Est","10","15","30","45","80","130","215","360","600","1000"
"2","E1","17.3346629233681","14.368718364176","11.029130361149","9.26647295018304","7.38945018143464","5.7913600262828","4.50259932362263","3.55022798274842","2.75386468047089","2.12048523422388"
"3","E2","10.3584832565439","8.68838733096997","6.802552984288","5.46669018266709","4.27624804399394","3.41744068642277","2.66640457042405","2.07406833134315","1.61034148083364","1.2493863775574"
"4","E3","7.76430265437803","6.9908237452131","5.25335067773605","4.00272088321341","3.04786998125038","2.37847538998346","1.87230877435134","1.44183761199833","1.11633329391802","0.870849665323334"
"5","E4","6.79274744720442","5.80631607967866","4.06733586808113","3.4793880415352","2.6088334063497","2.0389616743365","1.57130550405131","1.22428288739338","0.948764275532115","0.739049155320115"
"6","E5","19.887041730462","15.1747549130322","10.8767090906569","8.64388223890561","6.47203886048113","5.06875561338048","3.91491720080781","3.09262133817941","2.39328302573057","1.88323078660513"
"7","E6","13.6455175406778","11.0319222679469","8.18288734354179","6.52514795217947","5.04756843012583","3.88972439760846","3.00763622169889","2.34977033281013","1.81000754987999","1.38260835816227"
"8","E7","10.856110264059","9.77738182731268","7.13974065939903","5.28502024193022","4.10318439699476","3.18732187643897","2.51824618261174","1.92963248570894","1.49781937598159","1.17137279458018"
"9","E8","7.94186779823708","6.9297153120269","5.07404615822098","4.41467110040142","3.33799424838716","2.54548805964977","1.99139283020625","1.55359414258317","1.20144970599429","0.943298750226277"
